id,parent_id/id,code,name,type,
01,,01,Nanggro Aceh Darussalam,view,
0101,01,0101,Banda Aceh,view,
0101001,0101,0101001,Keudah,normal,Keudah
02,,02,Sumatera Utara,view,
0201,02,0201,Medan,view,
Medan01,0201,0201001,Brigjend Katamso,normal,Brigjend Katamso
03,,03,Sumatera Barat,view,
0301,03,0301,Padang,view,
0301001,0301,0301001,Veteran,normal,Veteran
04,,04,Riau,view,
0401,04,0401,Pekan Baru,view,
0401001,0401,0401001,Paus Ujung,normal,Paus Ujung
05,,05,Kepulauan Riau,view,
0501,05,0501,Tanjung Pinang,view,
0501001,0501,0501001,Srikaton,normal,Srikaton
0502,05,0502,Batam,view,
Batam01,0502,0502001,Batam Centre,normal,Batam Centre
06,,06,Jambi,view,
0601,06,0601,Jambi,view,
0601001,0601,0601001,P. Antasari,normal,P. Antasari
07,,07,Sumatera Selatan,view,
0701,07,0701,Palembang,view,
Palembang01,0701,0701001,Angkatan 45,normal,Angkatan 45
08,,08,Bangka Belitung,view,
0801,08,0801,Pangkal Pinang,view,
0801001,0801,0801001,Tanjung Pandan,normal,Tanjung Pandan
09,,09,Bengkulu,view,
0901,09,0901,Bengkulu,view,
0901001,0901,0901001,Timur Indah,normal,Timur Indah
10,,10,Lampung,view,
1001,10,1001,Bandar Lampung,view,
Lampung01,1001,1001001,Teluk Betung,normal,Teluk Betung
11,,11,DKI Jakarta,view,
1101,11,1101,Jakarta Pusat,view,
Lause01,1101,1101001,Lautze,normal,Lautze
1101002,1101,1101002,Toko ITC Roxy Mas,normal,Toko ITC Roxy Mas
1101003,1101,1101003,Toko ITC Cempaka Mas,normal,Toko ITC Cempaka Mas
1101004,1101,1101004,Toko Pasar Senen,normal,Toko Pasar Senen
1101005,1101,1101005,Toko Tanah Abang,normal,Toko Tanah Abang
1101006,1101,1101006,Bendungan Hilir,normal,Bendungan Hilir
1101007,1101,1101007,Salemba,normal,Salemba
1102,11,1102,Jakarta Utara,view,
Cempaka,1102,1102001,Cempaka Putih,normal,Cempaka Putih
1102002,1102,1102002,Toko ITC Mangga Dua,normal,Toko ITC Mangga Dua
1102003,1102,1102003,Teluk Gong,normal,Teluk Gong
1102004,1102,1102004,Cilincing,normal,Cilincing
1103,11,1103,Jakarta Barat,view,
Cengkareng01,1103,1103001,Cengkareng,normal,Cengkareng
JakartaBarat01,1103,1103002,Daan Mogot,normal,Daan Mogot
1103003,1103,1103003,Toko Season City,normal,Toko Season City
KebonJeruk01,1103,1103004,Kebon Jeruk,normal,Kebon Jeruk
1103005,1103,1103005,Tambora,normal,Tambora
1103006,1103,1103006,Pesing Poglar,normal,Pesing Poglar
1104,11,1104,Jakarta Selatan,view,
JakartaSelatan01,1104,1104001,Mampang,normal,Mampang
1104002,1104,1104002,Gandaria Selatan,normal,Gandaria Selatan
1104003,1104,1104003,Pasar Minggu,normal,Pasar Minggu
1104004,1104,1104004,Toko ITC Kuningan,normal,Toko ITC Kuningan
1104005,1104,1104005,Pancoran,normal,Pancoran
1105,11,1105,Jakarta Timur,view,
JakartaTimur01,1105,1105001,Cawang,normal,Cawang
1105002,1105,1105002,Ciracas,normal,Ciracas
1105003,1105,1105003,Duren Sawit,normal,Duren Sawit
12,,12,Jawa Barat,view,
1201,12,1201,Bandung,view,
Bandung01,1201,1201001,Ciateul,normal,Ciateul
BandungTimur01,1201,1201002,Bandung Timur,normal,Bandung Timur
1201003,1201,1201003,Bandung Selatan,normal,Bandung Selatan
1201004,1201,1201004,Toko Pasar Baru,normal,Toko Pasar Baru
1202,12,1202,Garut,view,
1202001,1202,1202001,Citisung,normal,Citisung
1203,12,1203,Sukabumi,view,
1203001,1203,1203001,Cisaat,normal,Cisaat
1204,12,1204,Tasikmalaya,view,
1204001,1204,1204001,Tasikmalaya1,normal,Tasikmalaya1
1205,12,1205,Cianjur,view,
1205001,1205,1205001,Cianjur1,normal,Cianjur1
1206,12,1206,Cimahi,view,
BandungCimahi01,1206,1206001,Cimahi1,normal,Cimahi1
1207,12,1207,Bogor,view,
Bogor01,1207,1207001,Tanah Sereal,normal,Tanah Sereal
1207002,1207,1207002,Tapos,normal,Tapos
1208,12,1208,Depok,view,
Depok01,1208,1208001,Beji Timur,normal,Beji Timur
1208002,1208,1208002,Cimanggis,normal,Cimanggis
1209,12,1209,Bekasi,view,
Bekasi01,1209,1209001,Delta Pekayon,normal,Delta Pekayon
Cikarang01,1209,1209002,Cikarang,normal,Cikarang
1209003,1209,1209003,Bekasi Utara,normal,Bekasi Utara
1209004,1209,1209004,Galaxy,normal,Galaxy
1209005,1209,1209005,Bekasi Timur,normal,Bekasi Timur
1209006,1209,1209006,Bekasi Cakung,normal,Bekasi Cakung
1210,12,1210,Purwakarta,view,
Purwakarta01,1210,1210001,Purwakarta1,normal,Purwakarta1
1211,12,1211,Sumedang,view,
1211001,1211,1211001,Sumedang1,normal,Sumedang1
13,,13,Banten,view,
1301,13,1301,Cilegon,view,
1301001,1301,1301001,Walantaka,normal,Walantaka
1302,13,1302,Tangerang,view,
Sangiang01,1302,1302001,Sangiang,normal,Sangiang
1302004,1302,1302004,Tigaraksa,normal,Tigaraksa
1302005,1302,1302005,Sepatan,normal,Sepatan
1302006,1302,1302006,Ciledug,normal,Ciledug
1303,13,1303,Tangerang Selatan,view,
GadingSerpong01,1303,1303002,Melati Mas,normal,Melati Mas
1303003,1303,1303003,Pamulang,normal,Pamulang
14,,14,Jawa Tengah,view,
1401,14,1401,Semarang,view,
Semarang01,1401,1401001,Suratmo,normal,Suratmo
1402,14,1402,Solo,view,
1402001,1402,1402001,Laweyan,normal,Laweyan
1403,14,1403,Pemalang,view,
1403001,1403,1403001,Raya Petarukan,normal,Raya Petarukan
1404,14,1404,Blora,view,
